Date,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
2021-11-11,PIPO10,Ambient+HW,Drought,129-160,129-160,97-128,148,141,113,#948d71,209933,950190,22.1
2021-11-11,PIPO29,Ambient+HW,Drought,129-160,129-160,97-128,148,141,112,#948d70,181186,961969,18.8
2021-11-11,PIPO34,Ambient+HW,Drought,129-160,129-160,97-128,147,141,113,#938d71,127717,724329,17.6
2021-11-11,PIPO34,Ambient+HW,Drought,97-128,97-128,65-96,116,108,81,#746c51,127111,724329,17.5
2021-11-11,PIPO23,Ambient+HW,Drought,129-160,129-160,97-128,149,139,113,#958b71,176707,1061573,16.6
2021-11-11,PIPO10,Ambient+HW,Drought,97-128,97-128,65-96,116,108,81,#746c51,155964,950190,16.4
2021-11-11,PIPO45,Ambient,Drought,129-160,129-160,97-128,148,139,113,#948b71,112928,718595,15.7
2021-11-11,PIPO49,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,100958,643522,15.7
2021-11-11,PIPO49,Ambient,Drought,129-160,129-160,97-128,143,145,112,#8f9170,98243,643522,15.3
2021-11-11,PIPO42,Ambient+HW,Drought,161-192,129-160,97-128,176,146,112,#b09270,132824,875546,15.2
2021-11-11,PIPO44,Ambient,Drought,65-96,65-96,33-64,84,76,49,#544c31,61548,417306,14.7
2021-11-11,PIPO44,Ambient,Drought,129-160,129-160,97-128,147,140,113,#938c71,60834,417306,14.6
2021-11-11,PIPO44,Ambient,Drought,97-128,97-128,65-96,115,108,81,#736c51,59020,417306,14.1
2021-11-11,PIPO29,Ambient+HW,Drought,161-192,161-192,129-160,180,173,144,#b4ad90,126714,961969,13.2
2021-11-11,PIPO34,Ambient+HW,Drought,65-96,65-96,33-64,84,76,49,#544c31,92707,724329,12.8
2021-11-11,PIPO42,Ambient+HW,Drought,129-160,97-128,65-96,144,113,80,#907150,106529,875546,12.2
2021-11-11,PIPO45,Ambient,Drought,129-160,97-128,65-96,142,115,81,#8e7351,86143,718595,12
2021-11-11,PIPO23,Ambient+HW,Drought,161-192,161-192,129-160,181,171,145,#b5ab91,116144,1061573,10.9
2021-11-11,PIPO10,Ambient+HW,Drought,161-192,161-192,129-160,179,173,144,#b3ad90,100067,950190,10.5
2021-11-11,PIPO42,Ambient+HW,Drought,193-224,161-192,129-160,207,179,144,#cfb390,90722,875546,10.4
2021-11-11,PIPO29,Ambient+HW,Drought,97-128,97-128,65-96,117,109,80,#756d50,97017,961969,10.1
2021-11-11,PIPO49,Ambient,Drought,65-96,65-96,33-64,80,81,48,#505130,63967,643522,9.9
2021-11-11,PIPO45,Ambient,Drought,97-128,97-128,65-96,117,106,82,#756a52,69267,718595,9.6
2021-11-11,PIPO10,Ambient+HW,Drought,65-96,65-96,33-64,84,76,49,#544c31,86244,950190,9.1
2021-11-11,PIPO23,Ambient+HW,Drought,97-128,97-128,65-96,117,106,81,#756a51,93060,1061573,8.8
2021-11-11,PIPO29,Ambient+HW,Drought,193-224,193-224,161-192,211,204,176,#d3ccb0,81214,961969,8.4
2021-11-11,PIPO45,Ambient,Drought,161-192,129-160,97-128,173,147,113,#ad9371,57897,718595,8.1
2021-11-11,PIPO34,Ambient+HW,Drought,161-192,161-192,129-160,178,174,145,#b2ae91,56264,724329,7.8
2021-11-11,PIPO45,Ambient,Drought,161-192,161-192,129-160,180,171,145,#b4ab91,56114,718595,7.8
2021-11-11,PIPO49,Ambient,Drought,97-128,129-160,65-96,117,138,82,#758a52,50080,643522,7.8
2021-11-11,PIPO23,Ambient+HW,Drought,129-160,97-128,65-96,142,115,81,#8e7351,78738,1061573,7.4
2021-11-11,PIPO23,Ambient+HW,Drought,161-192,129-160,97-128,173,148,113,#ad9471,77211,1061573,7.3
2021-11-11,PIPO45,Ambient,Drought,97-128,65-96,33-64,110,82,50,#6e5232,52270,718595,7.3
2021-11-11,PIPO44,Ambient,Drought,97-128,65-96,33-64,108,83,52,#6c5334,29063,417306,7
2021-11-11,PIPO23,Ambient+HW,Drought,193-224,193-224,161-192,212,202,177,#d4cab1,71611,1061573,6.7
2021-11-11,PIPO29,Ambient+HW,Drought,129-160,97-128,65-96,142,116,80,#8e7450,62395,961969,6.5
2021-11-11,PIPO49,Ambient,Drought,65-96,97-128,33-64,85,106,51,#556a33,40622,643522,6.3
2021-11-11,PIPO34,Ambient+HW,Drought,97-128,97-128,97-128,119,116,106,#77746a,44338,724329,6.1
2021-11-11,PIPO49,Ambient,Drought,97-128,129-160,97-128,122,140,107,#7a8c6b,39125,643522,6.1
2021-11-11,PIPO42,Ambient+HW,Drought,129-160,129-160,97-128,149,136,115,#958873,48972,875546,5.6
2021-11-11,PIPO29,Ambient+HW,Drought,161-192,129-160,97-128,172,148,113,#ac9471,49698,961969,5.2
2021-11-11,PIPO42,Ambient+HW,Drought,161-192,161-192,129-160,182,169,146,#b6a992,45693,875546,5.2
2021-11-11,PIPO44,Ambient,Drought,129-160,97-128,65-96,140,115,83,#8c7353,20774,417306,5
2021-11-11,PIPO23,Ambient+HW,Drought,193-224,161-192,129-160,203,180,145,#cbb491,51365,1061573,4.8
2021-11-11,PIPO44,Ambient,Drought,97-128,97-128,97-128,119,116,106,#77746a,19170,417306,4.6
2021-11-11,PIPO34,Ambient+HW,Drought,129-160,129-160,129-160,150,148,138,#96948a,32858,724329,4.5
2021-11-11,PIPO42,Ambient+HW,Drought,161-192,129-160,129-160,173,154,139,#ad9a8b,39829,875546,4.5
2021-11-11,PIPO45,Ambient,Drought,129-160,97-128,97-128,140,122,107,#8c7a6b,32688,718595,4.5
2021-11-11,PIPO10,Ambient+HW,Drought,193-224,193-224,161-192,210,205,177,#d2cdb1,41974,950190,4.4
2021-11-11,PIPO44,Ambient,Drought,33-64,33-64,1-32,54,45,20,#362d14,18321,417306,4.4
2021-11-11,PIPO42,Ambient+HW,Drought,97-128,65-96,33-64,113,80,49,#715031,37912,875546,4.3
2021-11-11,PIPO45,Ambient,Drought,193-224,161-192,129-160,204,180,146,#ccb492,30632,718595,4.3
2021-11-11,PIPO10,Ambient+HW,Drought,129-160,129-160,129-160,151,147,138,#97938a,38687,950190,4.1
2021-11-11,PIPO29,Ambient+HW,Drought,97-128,65-96,33-64,111,83,49,#6f5331,39791,961969,4.1
2021-11-11,PIPO34,Ambient+HW,Drought,97-128,65-96,33-64,108,83,52,#6c5334,29571,724329,4.1
2021-11-11,PIPO44,Ambient,Drought,65-96,33-64,1-32,75,53,23,#4b3517,17268,417306,4.1
