Date,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
2021-10-15,PIPO23,Ambient+HW,Drought,129-160,129-160,97-128,146,143,112,#928f70,225396,1199953,18.8
2021-10-15,PIPO49,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,270566,1575968,17.2
2021-10-15,PIPO34,Ambient+HW,Drought,97-128,97-128,65-96,112,113,80,#707150,286902,1690692,17
2021-10-15,PIPO23,Ambient+HW,Drought,97-128,97-128,65-96,114,111,80,#726f50,183986,1199953,15.3
2021-10-15,PIPO44,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,189813,1279836,14.8
2021-10-15,PIPO39,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,221098,1521381,14.5
2021-10-15,PIPO44,Ambient,Drought,65-96,65-96,33-64,80,81,48,#505130,185080,1279836,14.5
2021-10-15,PIPO10,Ambient+HW,Drought,129-160,129-160,97-128,144,145,112,#909170,225384,1594510,14.1
2021-10-15,PIPO10,Ambient+HW,Drought,97-128,97-128,65-96,113,112,80,#717050,221462,1594510,13.9
2021-10-15,PIPO42,Ambient+HW,Drought,161-192,129-160,97-128,176,146,112,#b09270,156680,1226961,12.8
2021-10-15,PIPO14,Ambient,Drought,129-160,129-160,97-128,144,145,112,#909170,155351,1230971,12.6
2021-10-15,PIPO34,Ambient+HW,Drought,65-96,65-96,33-64,80,81,48,#505130,213239,1690692,12.6
2021-10-15,PIPO49,Ambient,Drought,65-96,97-128,33-64,83,110,49,#536e31,196118,1575968,12.4
2021-10-15,PIPO10,Ambient+HW,Drought,65-96,65-96,33-64,80,81,48,#505130,191320,1594510,12
2021-10-15,PIPO45,Ambient,Drought,129-160,129-160,97-128,145,144,112,#919070,137611,1149072,12
2021-10-15,PIPO34,Ambient+HW,Drought,129-160,129-160,97-128,144,145,112,#909170,196766,1690692,11.6
2021-10-15,PIPO49,Ambient,Drought,97-128,129-160,65-96,115,140,81,#738c51,183346,1575968,11.6
2021-10-15,PIPO39,Ambient,Drought,65-96,97-128,33-64,83,110,49,#536e31,172120,1521381,11.3
2021-10-15,PIPO39,Ambient,Drought,65-96,65-96,33-64,80,81,48,#505130,166779,1521381,11
2021-10-15,PIPO42,Ambient+HW,Drought,193-224,161-192,129-160,207,179,144,#cfb390,133993,1226961,10.9
2021-10-15,PIPO29,Ambient+HW,Drought,129-160,129-160,97-128,144,145,112,#909170,175714,1632780,10.8
2021-10-15,PIPO45,Ambient,Drought,97-128,97-128,65-96,113,113,80,#717150,124516,1149072,10.8
2021-10-15,PIPO39,Ambient,Drought,97-128,129-160,65-96,116,141,80,#748d50,161510,1521381,10.6
2021-10-15,PIPO42,Ambient+HW,Drought,129-160,97-128,65-96,144,114,80,#907250,128361,1226961,10.5
2021-10-15,PIPO39,Ambient,Drought,129-160,129-160,97-128,144,145,112,#909170,155905,1521381,10.2
2021-10-15,PIPO23,Ambient+HW,Drought,65-96,65-96,33-64,83,79,48,#534f30,118570,1199953,9.9
2021-10-15,PIPO14,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,114530,1230971,9.3
2021-10-15,PIPO34,Ambient+HW,Drought,65-96,97-128,33-64,85,108,48,#556c30,152625,1690692,9
2021-10-15,PIPO34,Ambient+HW,Drought,97-128,129-160,65-96,118,140,80,#768c50,151445,1690692,9
2021-10-15,PIPO29,Ambient+HW,Drought,97-128,97-128,65-96,113,113,80,#717150,142529,1632780,8.7
2021-10-15,PIPO29,Ambient+HW,Drought,97-128,129-160,65-96,118,141,79,#768d4f,137934,1632780,8.4
2021-10-15,PIPO29,Ambient+HW,Drought,65-96,97-128,33-64,85,110,47,#556e2f,134669,1632780,8.2
2021-10-15,PIPO10,Ambient+HW,Drought,65-96,97-128,33-64,85,109,48,#556d30,126636,1594510,7.9
2021-10-15,PIPO42,Ambient+HW,Drought,129-160,129-160,97-128,149,138,114,#958a72,94122,1226961,7.7
2021-10-15,PIPO44,Ambient,Drought,65-96,97-128,33-64,82,108,51,#526c33,98352,1279836,7.7
2021-10-15,PIPO23,Ambient+HW,Drought,161-192,161-192,129-160,178,175,143,#b2af8f,91367,1199953,7.6
2021-10-15,PIPO45,Ambient,Drought,65-96,65-96,33-64,81,81,48,#515130,85986,1149072,7.5
2021-10-15,PIPO44,Ambient,Drought,33-64,33-64,1-32,48,51,18,#303312,94934,1279836,7.4
2021-10-15,PIPO49,Ambient,Drought,65-96,65-96,33-64,80,81,48,#505130,117118,1575968,7.4
2021-10-15,PIPO10,Ambient+HW,Drought,97-128,129-160,65-96,118,141,79,#768d4f,114009,1594510,7.2
2021-10-15,PIPO44,Ambient,Drought,129-160,129-160,97-128,144,144,112,#909070,92168,1279836,7.2
2021-10-15,PIPO45,Ambient,Drought,129-160,129-160,65-96,144,144,82,#909052,80468,1149072,7
2021-10-15,PIPO49,Ambient,Drought,129-160,129-160,97-128,144,145,112,#909170,110639,1575968,7
2021-10-15,PIPO14,Ambient,Drought,65-96,65-96,33-64,81,81,48,#515130,85321,1230971,6.9
2021-10-15,PIPO29,Ambient+HW,Drought,129-160,161-192,97-128,150,173,111,#96ad6f,111052,1632780,6.8
2021-10-15,PIPO29,Ambient+HW,Drought,65-96,65-96,33-64,81,81,47,#51512f,110006,1632780,6.7
2021-10-15,PIPO42,Ambient+HW,Drought,161-192,161-192,129-160,181,170,146,#b5aa92,82716,1226961,6.7
2021-10-15,PIPO29,Ambient+HW,Drought,97-128,97-128,33-64,110,112,51,#6e7033,105700,1632780,6.5
2021-10-15,PIPO45,Ambient,Drought,97-128,97-128,33-64,112,112,50,#707032,69574,1149072,6.1
2021-10-15,PIPO39,Ambient,Drought,33-64,65-96,1-32,52,77,18,#344d12,89878,1521381,5.9
2021-10-15,PIPO44,Ambient,Drought,33-64,65-96,33-64,56,78,44,#384e2c,74508,1279836,5.8
2021-10-15,PIPO29,Ambient+HW,Drought,129-160,129-160,65-96,142,144,83,#8e9053,93128,1632780,5.7
