Date,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
2021-10-07,PIPO34,Ambient+HW,Drought,97-128,97-128,97-128,115,118,105,#737669,90990,1994597,4.6
2021-10-07,PIPO44,Ambient,Drought,65-96,97-128,33-64,81,106,53,#516a35,50731,1111401,4.6
2021-10-07,PIPO45,Ambient,Drought,129-160,129-160,65-96,142,144,83,#8e9053,53172,1154285,4.6
2021-10-07,PIPO44,Ambient,Drought,65-96,65-96,65-96,83,86,73,#535649,49625,1111401,4.5
2021-10-07,PIPO10,Ambient+HW,Drought,97-128,129-160,97-128,121,141,107,#798d6b,61837,1394784,4.4
2021-10-07,PIPO44,Ambient,Drought,129-160,129-160,97-128,144,144,113,#909071,48908,1111401,4.4
2021-10-07,PIPO49,Ambient,Drought,33-64,65-96,1-32,51,75,21,#334b15,37645,852652,4.4
2021-10-07,PIPO34,Ambient+HW,Drought,33-64,65-96,1-32,51,76,20,#334c14,84897,1994597,4.3
2021-10-07,PIPO34,Ambient+HW,Drought,33-64,65-96,33-64,57,78,44,#394e2c,83664,1994597,4.2
2021-10-07,PIPO44,Ambient,Drought,97-128,129-160,97-128,121,139,109,#798b6d,47001,1111401,4.2
2021-10-07,PIPO39,Ambient,Drought,97-128,97-128,97-128,115,119,105,#737769,40490,993086,4.1
2021-10-07,PIPO44,Ambient,Drought,33-64,33-64,33-64,51,54,41,#333629,45037,1111401,4.1
2021-10-07,PIPO10,Ambient+HW,Drought,33-64,65-96,33-64,57,78,42,#394e2a,56146,1394784,4
2021-10-07,PIPO44,Ambient,Drought,33-64,65-96,1-32,50,74,23,#324a17,43683,1111401,3.9
2021-10-07,PIPO45,Ambient,Drought,33-64,33-64,1-32,48,51,17,#303311,45368,1154285,3.9
2021-10-07,PIPO23,Ambient+HW,Drought,97-128,97-128,97-128,115,118,105,#737669,71625,1906687,3.8
2021-10-07,PIPO34,Ambient+HW,Drought,33-64,33-64,1-32,48,51,18,#303312,76570,1994597,3.8
2021-10-07,PIPO14,Ambient,Drought,97-128,97-128,97-128,115,118,105,#737669,45399,1236586,3.7
2021-10-07,PIPO10,Ambient+HW,Drought,65-96,97-128,65-96,90,110,75,#5a6e4b,50301,1394784,3.6
2021-10-07,PIPO45,Ambient,Drought,33-64,65-96,1-32,53,75,19,#354b13,42130,1154285,3.6
2021-10-07,PIPO29,Ambient+HW,Drought,97-128,97-128,33-64,109,112,53,#6d7035,42266,1197341,3.5
2021-10-07,PIPO14,Ambient,Drought,129-160,129-160,65-96,145,142,84,#918e54,40607,1236586,3.3
