Date,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
2021-09-24,PIPO49,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,240879,1641278,14.7
2021-09-24,PIPO14,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,104560,805057,13
2021-09-24,PIPO10,Ambient+HW,Drought,65-96,65-96,33-64,80,81,49,#505131,171904,1366343,12.6
2021-09-24,PIPO34,Ambient+HW,Drought,97-128,97-128,65-96,112,113,80,#707150,151061,1198838,12.6
2021-09-24,PIPO49,Ambient,Drought,65-96,97-128,33-64,82,110,50,#526e32,205729,1641278,12.5
2021-09-24,PIPO49,Ambient,Drought,65-96,97-128,65-96,85,112,77,#55704d,205011,1641278,12.5
2021-09-24,PIPO29,Ambient+HW,Drought,65-96,97-128,33-64,83,110,49,#536e31,151948,1232728,12.3
2021-09-24,PIPO39,Ambient,Drought,97-128,97-128,65-96,111,113,81,#6f7151,122338,1005035,12.2
2021-09-24,PIPO45,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,147534,1211717,12.2
2021-09-24,PIPO44,Ambient,Drought,65-96,65-96,33-64,79,80,50,#4f5032,89245,752515,11.9
2021-09-24,PIPO14,Ambient,Drought,97-128,129-160,97-128,118,143,109,#768f6d,93749,805057,11.6
2021-09-24,PIPO39,Ambient,Drought,65-96,65-96,33-64,79,81,49,#4f5131,116229,1005035,11.6
2021-09-24,PIPO44,Ambient,Drought,97-128,97-128,65-96,111,112,81,#6f7051,86427,752515,11.5
2021-09-24,PIPO42,Ambient+HW,Drought,97-128,129-160,65-96,116,142,80,#748e50,170622,1497182,11.4
2021-09-24,PIPO34,Ambient+HW,Drought,97-128,129-160,97-128,120,142,108,#788e6c,131392,1198838,11
2021-09-24,PIPO14,Ambient,Drought,65-96,65-96,33-64,80,81,48,#505130,87923,805057,10.9
2021-09-24,PIPO42,Ambient+HW,Drought,65-96,97-128,33-64,83,111,48,#536f30,163298,1497182,10.9
2021-09-24,PIPO44,Ambient,Drought,33-64,65-96,33-64,55,78,46,#374e2e,82237,752515,10.9
2021-09-24,PIPO10,Ambient+HW,Drought,97-128,97-128,65-96,112,113,80,#707150,147166,1366343,10.8
2021-09-24,PIPO23,Ambient+HW,Drought,97-128,129-160,97-128,118,143,110,#768f6e,160069,1484554,10.8
2021-09-24,PIPO29,Ambient+HW,Drought,97-128,129-160,65-96,115,142,81,#738e51,133050,1232728,10.8
2021-09-24,PIPO45,Ambient,Drought,129-160,129-160,97-128,144,145,112,#909170,130751,1211717,10.8
2021-09-24,PIPO44,Ambient,Drought,65-96,97-128,65-96,87,110,77,#576e4d,80258,752515,10.7
2021-09-24,PIPO42,Ambient+HW,Drought,129-160,129-160,97-128,144,145,112,#909170,158949,1497182,10.6
2021-09-24,PIPO23,Ambient+HW,Drought,97-128,97-128,65-96,112,113,80,#707150,149662,1484554,10.1
2021-09-24,PIPO39,Ambient,Drought,65-96,97-128,33-64,81,110,51,#516e33,101273,1005035,10.1
2021-09-24,PIPO10,Ambient+HW,Drought,65-96,97-128,33-64,81,111,50,#516f32,135275,1366343,9.9
2021-09-24,PIPO34,Ambient+HW,Drought,65-96,65-96,33-64,79,81,49,#4f5131,117870,1198838,9.8
2021-09-24,PIPO34,Ambient+HW,Drought,65-96,97-128,33-64,82,109,51,#526d33,117283,1198838,9.8
2021-09-24,PIPO29,Ambient+HW,Drought,65-96,65-96,33-64,80,81,48,#505130,119533,1232728,9.7
2021-09-24,PIPO45,Ambient,Drought,65-96,65-96,33-64,80,81,48,#505130,112556,1211717,9.3
2021-09-24,PIPO23,Ambient+HW,Drought,65-96,65-96,33-64,80,81,48,#505130,136095,1484554,9.2
2021-09-24,PIPO34,Ambient+HW,Drought,97-128,129-160,65-96,114,141,82,#728d52,110574,1198838,9.2
2021-09-24,PIPO42,Ambient+HW,Drought,97-128,97-128,65-96,112,113,80,#707150,134309,1497182,9
2021-09-24,PIPO29,Ambient+HW,Drought,129-160,129-160,97-128,144,145,112,#909170,106534,1232728,8.6
2021-09-24,PIPO23,Ambient+HW,Drought,97-128,129-160,65-96,113,142,82,#718e52,126007,1484554,8.5
2021-09-24,PIPO39,Ambient,Drought,33-64,65-96,33-64,54,79,45,#364f2d,85097,1005035,8.5
2021-09-24,PIPO10,Ambient+HW,Drought,129-160,129-160,97-128,142,146,112,#8e9270,114305,1366343,8.4
2021-09-24,PIPO23,Ambient+HW,Drought,65-96,97-128,33-64,81,110,51,#516e33,125399,1484554,8.4
2021-09-24,PIPO34,Ambient+HW,Drought,129-160,129-160,97-128,143,145,112,#8f9170,100414,1198838,8.4
2021-09-24,PIPO44,Ambient,Drought,97-128,97-128,97-128,114,118,106,#72766a,62406,752515,8.3
2021-09-24,PIPO39,Ambient,Drought,65-96,97-128,65-96,87,111,76,#576f4c,82203,1005035,8.2
2021-09-24,PIPO29,Ambient+HW,Drought,97-128,97-128,65-96,112,113,80,#707150,99658,1232728,8.1
2021-09-24,PIPO49,Ambient,Drought,97-128,129-160,65-96,115,141,81,#738d51,132666,1641278,8.1
2021-09-24,PIPO10,Ambient+HW,Drought,97-128,129-160,65-96,114,142,81,#728e51,108702,1366343,8
2021-09-24,PIPO39,Ambient,Drought,97-128,129-160,97-128,119,142,109,#778e6d,80884,1005035,8
2021-09-24,PIPO45,Ambient,Drought,97-128,129-160,65-96,116,141,81,#748d51,96390,1211717,8
2021-09-24,PIPO10,Ambient+HW,Drought,97-128,129-160,97-128,120,142,109,#788e6d,106128,1366343,7.8
2021-09-24,PIPO14,Ambient,Drought,129-160,129-160,97-128,143,146,112,#8f9270,62822,805057,7.8
2021-09-24,PIPO23,Ambient+HW,Drought,65-96,97-128,65-96,85,111,77,#556f4d,115777,1484554,7.8
2021-09-24,PIPO29,Ambient+HW,Drought,33-64,65-96,1-32,50,78,19,#324e13,94857,1232728,7.7
2021-09-24,PIPO39,Ambient,Drought,97-128,129-160,65-96,113,141,82,#718d52,76072,1005035,7.6
2021-09-24,PIPO49,Ambient,Drought,65-96,65-96,33-64,80,81,48,#505130,124997,1641278,7.6
2021-09-24,PIPO49,Ambient,Drought,97-128,129-160,97-128,118,143,109,#768f6d,123521,1641278,7.5
2021-09-24,PIPO23,Ambient+HW,Drought,33-64,65-96,33-64,53,80,45,#35502d,110411,1484554,7.4
2021-09-24,PIPO49,Ambient,Drought,33-64,65-96,33-64,54,80,45,#36502d,121523,1641278,7.4
2021-09-24,PIPO44,Ambient,Drought,97-128,129-160,97-128,120,139,110,#788b6e,55198,752515,7.3
2021-09-24,PIPO45,Ambient,Drought,65-96,97-128,33-64,83,109,49,#536d31,87219,1211717,7.2
