Date,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
2021-09-30,PIPO49,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,184424,763806,24.1
2021-09-30,PIPO34,Ambient+HW,Drought,97-128,97-128,65-96,112,113,80,#707150,318476,1540050,20.7
2021-09-30,PIPO14,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,137076,844344,16.2
2021-09-30,PIPO39,Ambient,Drought,65-96,65-96,33-64,80,81,48,#505130,214676,1388873,15.5
2021-09-30,PIPO44,Ambient,Drought,65-96,65-96,33-64,79,80,49,#4f5031,113424,742271,15.3
2021-09-30,PIPO44,Ambient,Drought,97-128,97-128,65-96,112,113,81,#707151,112892,742271,15.2
2021-09-30,PIPO34,Ambient+HW,Drought,65-96,65-96,33-64,80,81,48,#505130,210373,1540050,13.7
2021-09-30,PIPO10,Ambient+HW,Drought,65-96,65-96,33-64,80,81,48,#505130,232469,1707472,13.6
2021-09-30,PIPO39,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,189133,1388873,13.6
2021-09-30,PIPO45,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,138362,1019925,13.6
2021-09-30,PIPO23,Ambient+HW,Drought,97-128,97-128,65-96,112,113,80,#707150,223969,1725584,13
2021-09-30,PIPO10,Ambient+HW,Drought,97-128,97-128,65-96,112,113,80,#707150,210192,1707472,12.3
2021-09-30,PIPO23,Ambient+HW,Drought,65-96,65-96,33-64,80,81,48,#505130,208659,1725584,12.1
2021-09-30,PIPO45,Ambient,Drought,129-160,129-160,97-128,144,145,112,#909170,116721,1019925,11.4
2021-09-30,PIPO42,Ambient+HW,Drought,129-160,129-160,97-128,145,145,112,#919170,162272,1448456,11.2
2021-09-30,PIPO49,Ambient,Drought,65-96,97-128,33-64,84,107,51,#546b33,83881,763806,11
2021-09-30,PIPO34,Ambient+HW,Drought,65-96,97-128,33-64,84,108,50,#546c32,168429,1540050,10.9
2021-09-30,PIPO10,Ambient+HW,Drought,65-96,97-128,33-64,83,111,48,#536f30,179083,1707472,10.5
2021-09-30,PIPO39,Ambient,Drought,65-96,97-128,33-64,82,109,50,#526d32,143967,1388873,10.4
2021-09-30,PIPO45,Ambient,Drought,65-96,65-96,33-64,80,81,48,#505130,103970,1019925,10.2
2021-09-30,PIPO10,Ambient+HW,Drought,129-160,129-160,97-128,143,145,112,#8f9170,166625,1707472,9.8
