Date,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
2021-10-29,PIPO10,Ambient+HW,Drought,129-160,129-160,97-128,147,142,112,#938e70,297050,1190404,25
2021-10-29,PIPO10,Ambient+HW,Drought,97-128,97-128,65-96,115,110,80,#736e50,223684,1190404,18.8
2021-10-29,PIPO23,Ambient+HW,Drought,129-160,129-160,97-128,148,140,113,#948c71,200524,1085474,18.5
2021-10-29,PIPO29,Ambient+HW,Drought,129-160,129-160,97-128,146,144,112,#929070,177768,1076508,16.5
2021-10-29,PIPO49,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,210251,1330957,15.8
2021-10-29,PIPO42,Ambient+HW,Drought,161-192,129-160,97-128,176,146,112,#b09270,178747,1186677,15.1
2021-10-29,PIPO14,Ambient,Drought,129-160,129-160,97-128,145,144,112,#919070,166952,1111591,15
2021-10-29,PIPO42,Ambient+HW,Drought,193-224,161-192,129-160,207,178,144,#cfb290,178207,1186677,15
2021-10-29,PIPO39,Ambient,Drought,97-128,97-128,65-96,113,113,80,#717150,144549,1005116,14.4
2021-10-29,PIPO44,Ambient,Drought,65-96,65-96,33-64,80,80,49,#505031,185727,1319842,14.1
2021-10-29,PIPO45,Ambient,Drought,129-160,129-160,97-128,147,143,112,#938f70,155545,1149067,13.5
2021-10-29,PIPO14,Ambient,Drought,97-128,97-128,65-96,113,112,80,#717050,146960,1111591,13.2
2021-10-29,PIPO39,Ambient,Drought,129-160,129-160,97-128,144,145,112,#909170,129669,1005116,12.9
2021-10-29,PIPO49,Ambient,Drought,65-96,97-128,33-64,83,109,50,#536d32,171948,1330957,12.9
2021-10-29,PIPO10,Ambient+HW,Drought,161-192,161-192,129-160,178,175,144,#b2af90,144690,1190404,12.2
2021-10-29,PIPO23,Ambient+HW,Drought,161-192,161-192,129-160,180,172,144,#b4ac90,131397,1085474,12.1
2021-10-29,PIPO29,Ambient+HW,Drought,97-128,97-128,65-96,114,112,79,#72704f,126299,1076508,11.7
2021-10-29,PIPO44,Ambient,Drought,97-128,97-128,65-96,112,112,81,#707051,139547,1319842,10.6
2021-10-29,PIPO49,Ambient,Drought,97-128,129-160,65-96,116,140,81,#748c51,139172,1330957,10.5
2021-10-29,PIPO23,Ambient+HW,Drought,97-128,97-128,65-96,117,107,81,#756b51,110015,1085474,10.1
2021-10-29,PIPO39,Ambient,Drought,65-96,65-96,33-64,80,81,48,#505130,101157,1005116,10.1
2021-10-29,PIPO45,Ambient,Drought,97-128,97-128,65-96,115,110,80,#736e50,114556,1149067,10
2021-10-29,PIPO14,Ambient,Drought,65-96,65-96,33-64,81,80,48,#515030,108367,1111591,9.7
2021-10-29,PIPO29,Ambient+HW,Drought,161-192,161-192,129-160,177,176,143,#b1b08f,102779,1076508,9.5
2021-10-29,PIPO44,Ambient,Drought,33-64,33-64,1-32,48,50,20,#303214,123372,1319842,9.3
2021-10-29,PIPO42,Ambient+HW,Drought,129-160,97-128,65-96,144,113,80,#907150,107446,1186677,9.1
2021-10-29,PIPO44,Ambient,Drought,33-64,65-96,33-64,55,78,46,#374e2e,119418,1319842,9
2021-10-29,PIPO39,Ambient,Drought,97-128,129-160,65-96,118,140,80,#768c50,88965,1005116,8.9
2021-10-29,PIPO39,Ambient,Drought,65-96,97-128,33-64,86,107,49,#566b31,86797,1005116,8.6
2021-10-29,PIPO45,Ambient,Drought,129-160,97-128,65-96,142,116,79,#8e744f,96517,1149067,8.4
2021-10-29,PIPO45,Ambient,Drought,161-192,161-192,129-160,179,174,144,#b3ae90,93825,1149067,8.2
2021-10-29,PIPO45,Ambient,Drought,161-192,129-160,97-128,174,148,111,#ae946f,88001,1149067,7.7
2021-10-29,PIPO44,Ambient,Drought,129-160,129-160,97-128,144,144,113,#909071,95587,1319842,7.2
2021-10-29,PIPO49,Ambient,Drought,65-96,65-96,33-64,80,82,48,#505230,95909,1330957,7.2
2021-10-29,PIPO49,Ambient,Drought,129-160,129-160,97-128,143,145,112,#8f9170,91256,1330957,6.9
2021-10-29,PIPO29,Ambient+HW,Drought,129-160,129-160,65-96,142,143,85,#8e8f55,72888,1076508,6.8
2021-10-29,PIPO14,Ambient,Drought,129-160,97-128,65-96,143,115,80,#8f7350,74835,1111591,6.7
2021-10-29,PIPO49,Ambient,Drought,97-128,129-160,97-128,120,142,108,#788e6c,89091,1330957,6.7
2021-10-29,PIPO23,Ambient+HW,Drought,193-224,193-224,161-192,212,203,176,#d4cbb0,71437,1085474,6.6
2021-10-29,PIPO10,Ambient+HW,Drought,65-96,65-96,33-64,84,77,48,#544d30,76789,1190404,6.5
2021-10-29,PIPO23,Ambient+HW,Drought,129-160,97-128,65-96,142,115,80,#8e7350,68149,1085474,6.3
2021-10-29,PIPO29,Ambient+HW,Drought,161-192,161-192,97-128,174,175,117,#aeaf75,68340,1076508,6.3
2021-10-29,PIPO42,Ambient+HW,Drought,161-192,161-192,129-160,181,169,146,#b5a992,74252,1186677,6.3
2021-10-29,PIPO23,Ambient+HW,Drought,161-192,129-160,97-128,174,148,112,#ae9470,67574,1085474,6.2
2021-10-29,PIPO42,Ambient+HW,Drought,129-160,129-160,97-128,149,137,114,#958972,71764,1186677,6
2021-10-29,PIPO49,Ambient,Drought,65-96,97-128,65-96,88,111,76,#586f4c,80193,1330957,6
2021-10-29,PIPO14,Ambient,Drought,161-192,161-192,129-160,177,176,144,#b1b090,64208,1111591,5.8
2021-10-29,PIPO45,Ambient,Drought,97-128,65-96,33-64,110,84,48,#6e5430,66388,1149067,5.8
2021-10-29,PIPO29,Ambient+HW,Drought,65-96,65-96,33-64,83,80,47,#53502f,61214,1076508,5.7
2021-10-29,PIPO45,Ambient,Drought,65-96,65-96,33-64,83,78,48,#534e30,65690,1149067,5.7
2021-10-29,PIPO14,Ambient,Drought,97-128,65-96,33-64,111,82,49,#6f5231,59344,1111591,5.3
2021-10-29,PIPO29,Ambient+HW,Drought,97-128,97-128,33-64,110,111,54,#6e6f36,56863,1076508,5.3
2021-10-29,PIPO44,Ambient,Drought,65-96,97-128,65-96,87,110,77,#576e4d,70424,1319842,5.3
2021-10-29,PIPO39,Ambient,Drought,97-128,97-128,33-64,109,112,54,#6d7036,52120,1005116,5.2
2021-10-29,PIPO10,Ambient+HW,Drought,129-160,129-160,129-160,150,148,138,#96948a,60573,1190404,5.1
2021-10-29,PIPO42,Ambient+HW,Drought,193-224,193-224,161-192,213,201,178,#d5c9b2,57582,1186677,4.9
2021-10-29,PIPO42,Ambient+HW,Drought,225-256,193-224,161-192,236,210,178,#ecd2b2,56778,1186677,4.8
2021-10-29,PIPO42,Ambient+HW,Drought,161-192,129-160,129-160,173,154,139,#ad9a8b,54638,1186677,4.6
2021-10-29,PIPO44,Ambient,Drought,97-128,129-160,97-128,120,139,109,#788b6d,60882,1319842,4.6
2021-10-29,PIPO45,Ambient,Drought,193-224,161-192,129-160,205,181,144,#cdb590,50935,1149067,4.4
2021-10-29,PIPO39,Ambient,Drought,129-160,161-192,97-128,150,172,113,#96ac71,41714,1005116,4.2
2021-10-29,PIPO44,Ambient,Drought,65-96,97-128,33-64,82,107,52,#526b34,55479,1319842,4.2
2021-10-29,PIPO49,Ambient,Drought,33-64,65-96,1-32,51,76,20,#334c14,55296,1330957,4.2
2021-10-29,PIPO45,Ambient,Drought,129-160,129-160,65-96,145,138,86,#918a56,46893,1149067,4.1
2021-10-29,PIPO23,Ambient+HW,Drought,193-224,161-192,129-160,203,180,145,#cbb491,43010,1085474,4
2021-10-29,PIPO29,Ambient+HW,Drought,129-160,161-192,97-128,153,168,112,#99a870,42231,1076508,3.9
2021-10-29,PIPO29,Ambient+HW,Drought,97-128,129-160,65-96,121,136,80,#798850,41451,1076508,3.9
2021-10-29,PIPO44,Ambient,Drought,33-64,65-96,1-32,51,75,24,#334b18,51863,1319842,3.9
2021-10-29,PIPO44,Ambient,Drought,97-128,97-128,97-128,115,118,105,#737669,50956,1319842,3.9
2021-10-29,PIPO42,Ambient+HW,Drought,129-160,97-128,97-128,141,122,107,#8d7a6b,45431,1186677,3.8
2021-10-29,PIPO49,Ambient,Drought,97-128,97-128,97-128,115,118,105,#737669,51028,1330957,3.8
2021-10-29,PIPO14,Ambient,Drought,161-192,129-160,97-128,174,147,112,#ae9370,41071,1111591,3.7
2021-10-29,PIPO23,Ambient+HW,Drought,65-96,65-96,33-64,85,75,48,#554b30,40116,1085474,3.7
2021-10-29,PIPO39,Ambient,Drought,129-160,129-160,65-96,140,144,86,#8c9056,37287,1005116,3.7
2021-10-29,PIPO10,Ambient+HW,Drought,193-224,193-224,161-192,209,205,177,#d1cdb1,42904,1190404,3.6
2021-10-29,PIPO10,Ambient+HW,Drought,97-128,97-128,97-128,119,116,106,#77746a,42070,1190404,3.5
