Data_raw,Final_project,Photos,Date,Stage,SpeciesID,Treatment_temp,Treatment_water,PhotoID,Segmented,Cropped,FileType
data_raw,final_project,Photos,October 15 2021,Final,PIPO10,Ambient+HW,Drought,DSC01728,segmented,crop,JPG
data_raw,final_project,Photos,October 15 2021,Final,PIPO14,Ambient,Drought,DSC01748,segmented,crop,JPG
data_raw,final_project,Photos,October 15 2021,Final,PIPO23,Ambient+HW,Drought,DSC01723,segmented,crop,JPG
data_raw,final_project,Photos,October 15 2021,Final,PIPO29,Ambient+HW,Drought,DSC01722,segmented,crop,JPG
data_raw,final_project,Photos,October 15 2021,Final,PIPO34,Ambient+HW,Drought,DSC01725,segmented,crop,JPG
data_raw,final_project,Photos,October 15 2021,Final,PIPO39,Ambient,Drought,DSC01739,segmented,crop,JPG
data_raw,final_project,Photos,October 15 2021,Final,PIPO42,Ambient+HW,Drought,DSC01731,segmented,crop,JPG
data_raw,final_project,Photos,October 15 2021,Final,PIPO44,Ambient,Drought,DSC01757,segmented,crop,JPG
data_raw,final_project,Photos,October 15 2021,Final,PIPO45,Ambient,Drought,DSC01753,segmented,crop,JPG
data_raw,final_project,Photos,October 15 2021,Final,PIPO49,Ambient,Drought,DSC01751,segmented,crop,JPG
