Data_raw,Final_project,Photos,Date,Stage,Species,SpeciesID,Treatment_temp,Treatment_water,PhotoID,Segmented,Cropped,FileType
data_raw,final_project,Photos,2021-09-09,Final,PIPO,PIPO10,Ambient+HW,Drought,DSC00541,segmented,crop,JPG
data_raw,final_project,Photos,2021-09-09,Final,PIPO,PIPO14,Ambient,Drought,DSC00512,segmented,crop,JPG
data_raw,final_project,Photos,2021-09-09,Final,PIPO,PIPO23,Ambient+HW,Drought,DSC00550,segmented,crop,JPG
data_raw,final_project,Photos,2021-09-09,Final,PIPO,PIPO29,Ambient+HW,Drought,DSC00542,segmented,crop,JPG
data_raw,final_project,Photos,2021-09-09,Final,PIPO,PIPO34,Ambient+HW,Drought,DSC00536,segmented,crop,JPG
data_raw,final_project,Photos,2021-09-09,Final,PIPO,PIPO39,Ambient,Drought,DSC00523,segmented,crop,JPG
data_raw,final_project,Photos,2021-09-09,Final,PIPO,PIPO42,Ambient+HW,Drought,DSC00547,segmented,crop,JPG
data_raw,final_project,Photos,2021-09-09,Final,PIPO,PIPO44,Ambient,Drought,DSC00509,segmented,crop,JPG
data_raw,final_project,Photos,2021-09-09,Final,PIPO,PIPO45,Ambient,Drought,DSC00526,segmented,crop,JPG
data_raw,final_project,Photos,2021-09-09,Final,PIPO,PIPO49,Ambient,Drought,DSC00524,segmented,crop,JPG
