Data_raw,Final_project,Photos,Date,Stage,SpeciesID,Treatment_temp,Treatment_water,PhotoID,Segmented,Cropped,FileType
data_raw,final_project,Photos,November 19 2021,Final,PIPO10,Ambient+HW,Drought,DSC03158,segmented,crop,JPG
data_raw,final_project,Photos,November 19 2021,Final,PIPO23,Ambient+HW,Drought,DSC03159,segmented,crop,JPG
data_raw,final_project,Photos,November 19 2021,Final,PIPO29,Ambient+HW,Drought,DSC03160,segmented,crop,JPG
data_raw,final_project,Photos,November 19 2021,Final,PIPO34,Ambient+HW,Drought,DSC03151,segmented,crop,JPG
data_raw,final_project,Photos,November 19 2021,Final,PIPO39,Ambient,Drought,DSC03122,segmented,crop,JPG
data_raw,final_project,Photos,November 19 2021,Final,PIPO42,Ambient+HW,Drought,DSC03153,segmented,crop,JPG
data_raw,final_project,Photos,November 19 2021,Final,PIPO44,Ambient,Drought,DSC03134,segmented,crop,JPG
data_raw,final_project,Photos,November 19 2021,Final,PIPO45,Ambient,Drought,DSC03132,segmented,crop,JPG
data_raw,final_project,Photos,November 19 2021,Final,PIPO49,Ambient,Drought,DSC03129,segmented,crop,JPG
