Data_raw,Final_project,Photos,Date,Stage,Species,SpeciesID,Treatment_temp,Treatment_water,PhotoID,Segmented,Cropped,FileType
data_raw,final_project,Photos,2021-09-24,Final,PIPO,PIPO10,Ambient+HW,Drought,DSC01030,segmented,crop,JPG
data_raw,final_project,Photos,2021-09-24,Final,PIPO,PIPO14,Ambient,Drought,DSC01049,segmented,crop,JPG
data_raw,final_project,Photos,2021-09-24,Final,PIPO,PIPO23,Ambient+HW,Drought,DSC01031,segmented,crop,JPG
data_raw,final_project,Photos,2021-09-24,Final,PIPO,PIPO29,Ambient+HW,Drought,DSC01028,segmented,crop,JPG
data_raw,final_project,Photos,2021-09-24,Final,PIPO,PIPO34,Ambient+HW,Drought,DSC01022,segmented,crop,JPG
data_raw,final_project,Photos,2021-09-24,Final,PIPO,PIPO39,Ambient,Drought,DSC01039,segmented,crop,JPG
data_raw,final_project,Photos,2021-09-24,Final,PIPO,PIPO42,Ambient+HW,Drought,DSC01027,segmented,crop,JPG
data_raw,final_project,Photos,2021-09-24,Final,PIPO,PIPO44,Ambient,Drought,DSC01048,segmented,crop,JPG
data_raw,final_project,Photos,2021-09-24,Final,PIPO,PIPO45,Ambient,Drought,DSC01054,segmented,crop,JPG
data_raw,final_project,Photos,2021-09-24,Final,PIPO,PIPO49,Ambient,Drought,DSC01052,segmented,crop,JPG
