doc_id,type,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,PART,PRON,PROPN,PUNCT,SCONJ,VERB
text1,sci-fi,0.09090909090909091,0.09090909090909091,0.06951871657754011,0.0481283422459893,0.0374331550802139,0.0855614973262032,0.0053475935828877,0.13368983957219252,0.0213903743315508,0.08021390374331551,0.0481283422459893,0.1443850267379679,0.016042780748663103,0.12834224598930483
text10,sci-fi,0.06802721088435375,0.05442176870748299,0.04081632653061224,0.047619047619047616,0.04081632653061224,0.09523809523809523,0.013605442176870748,0.11564625850340136,0.034013605442176874,0.061224489795918366,0.06802721088435375,0.16326530612244897,0.027210884353741496,0.1564625850340136
text100,sci-fi,0.1171875,0.09375,0.0390625,0.046875,0.03125,0.1328125,0,0.203125,0.0390625,0.046875,0.015625,0.1171875,0,0.1015625
text1000,sci-fi,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0,0.1111111111111111,0,0.16666666666666666,0.05555555555555555,0,0.1111111111111111,0.05555555555555555,0,0.16666666666666666
text1001,sci-fi,0.061224489795918366,0.02040816326530612,0.04081632653061224,0.07142857142857142,0.030612244897959183,0.08163265306122448,0,0.09183673469387756,0.08163265306122448,0.10204081632653061,0.05102040816326531,0.1326530612244898,0.02040816326530612,0.20408163265306123
text1002,sci-fi,0.10497237569060773,0.12154696132596685,0.04419889502762431,0.027624309392265192,0.027624309392265192,0.15469613259668508,0,0.20441988950276244,0.016574585635359115,0.03314917127071823,0.04419889502762431,0.12154696132596685,0.016574585635359115,0.0718232044198895
text1003,sci-fi,0.11235955056179775,0.06741573033707865,0.0449438202247191,0.028089887640449437,0.03932584269662921,0.12359550561797752,0,0.17415730337078653,0.033707865168539325,0.028089887640449437,0.07865168539325842,0.11797752808988764,0.02247191011235955,0.11797752808988764
text1004,sci-fi,0.07236842105263158,0.10526315789473684,0.02631578947368421,0.03289473684210526,0.046052631578947366,0.125,0,0.15789473684210525,0.046052631578947366,0.06578947368421052,0.07236842105263158,0.09868421052631579,0.006578947368421052,0.13157894736842105
text1005,sci-fi,0.07272727272727272,0.12727272727272726,0,0.05454545454545454,0.05454545454545454,0.16363636363636364,0,0.16363636363636364,0.03636363636363636,0.05454545454545454,0.07272727272727272,0.07272727272727272,0,0.10909090909090909
text1006,sci-fi,0.07555555555555556,0.08444444444444445,0.07111111111111111,0.057777777777777775,0.03111111111111111,0.14222222222222222,0,0.16,0.035555555555555556,0.057777777777777775,0.035555555555555556,0.08444444444444445,0.008888888888888889,0.14666666666666667
