trialNb	groupNb	indexInGroup	prime	target	response	RT	soa	target_prime_relatedness	type	load	original_pattern	reproduced_pattern	correct	hits	misses	falseAlarms
1	1	1	takel	vies	NONWORD	2203	LOW_SOA	TARGET_PRIME_UNRELATED	FA	HIGH_LOAD	0000100001010010	0100000001110000	0	2	2	2
2	1	2	ijver	skerek	NONWORD	1859	LOW_SOA	TARGET_PRIME_UNRELATED	PSW	HIGH_LOAD	0000100001010010	0100000001110000	0	2	2	2
3	1	3	bruto	tert	NONWORD	2547	LOW_SOA	TARGET_PRIME_RELATED	PSW	HIGH_LOAD	0000100001010010	0100000001110000	0	2	2	2
4	1	4	binnen	laam	NONWORD	1688	LOW_SOA	TARGET_PRIME_RELATED	PSW	HIGH_LOAD	0000100001010010	0100000001110000	0	2	2	2
5	1	5	chaos	wix	NONWORD	1844	LOW_SOA	TARGET_PRIME_UNRELATED	PSW	HIGH_LOAD	0000100001010010	0100000001110000	0	2	2	2
6	2	1	data	gegevens	WORD	1516	LOW_SOA	TARGET_PRIME_RELATED	Filler_SYM	HIGH_LOAD	0100000110000001	1000100000010001	0	1	3	3
7	2	2	kalm	rustig	NO_RESPONSE	3000	LOW_SOA	TARGET_PRIME_RELATED	SYM	HIGH_LOAD	0100000110000001	1000100000010001	0	1	3	3
8	2	3	raad	advies	WORD	1969	LOW_SOA	TARGET_PRIME_RELATED	Filler_SYM	HIGH_LOAD	0100000110000001	1000100000010001	0	1	3	3
9	2	4	pest	ziekte	NO_RESPONSE	3000	LOW_SOA	TARGET_PRIME_RELATED	FA	HIGH_LOAD	0100000110000001	1000100000010001	0	1	3	3
10	2	5	verschijnsel	fenomeen	WORD	2656	LOW_SOA	TARGET_PRIME_RELATED	Filler_SYM	HIGH_LOAD	0100000110000001	1000100000010001	0	1	3	3
11	3	1	fan	hamp	WORD	1500	LOW_SOA	TARGET_PRIME_RELATED	PSW	LOW_LOAD	0001000100010001	1100000000110000	0	1	3	3
12	3	2	raam	venster	NONWORD	2047	LOW_SOA	TARGET_PRIME_RELATED	Filler_SYM	LOW_LOAD	0001000100010001	1100000000110000	0	1	3	3
13	3	3	raar	plecees	WORD	2469	LOW_SOA	TARGET_PRIME_RELATED	PSW	LOW_LOAD	0001000100010001	1100000000110000	0	1	3	3
14	3	4	eens	ooit	WORD	1109	LOW_SOA	TARGET_PRIME_UNRELATED	Filler_SYM	LOW_LOAD	0001000100010001	1100000000110000	0	1	3	3
15	3	5	boven	oerwoud	WORD	2360	LOW_SOA	TARGET_PRIME_UNRELATED	SYM	LOW_LOAD	0001000100010001	1100000000110000	0	1	3	3
16	4	1	karakter	reer	NO_RESPONSE	3000	LOW_SOA	TARGET_PRIME_RELATED	PSW	LOW_LOAD	0001000100010001	0001000100010001	1	4	0	0
17	4	2	goesting	voom	NONWORD	1578	LOW_SOA	TARGET_PRIME_RELATED	PSW	LOW_LOAD	0001000100010001	0001000100010001	1	4	0	0
18	4	3	schaap	juist	WORD	1969	LOW_SOA	TARGET_PRIME_UNRELATED	SYM	LOW_LOAD	0001000100010001	0001000100010001	1	4	0	0
19	4	4	binnenkort	cil	NONWORD	2063	LOW_SOA	TARGET_PRIME_RELATED	PSW	LOW_LOAD	0001000100010001	0001000100010001	1	4	0	0
20	4	5	visite	mang	NONWORD	1797	LOW_SOA	TARGET_PRIME_UNRELATED	PSW	LOW_LOAD	0001000100010001	0001000100010001	1	4	0	0
21	5	1	wij	ons	WORD	1875	LOW_SOA	TARGET_PRIME_RELATED	Filler_SYM	HIGH_LOAD	0010100000010010	1000100000100001	0	1	3	3
22	5	2	doos	krem	WORD	1500	LOW_SOA	TARGET_PRIME_UNRELATED	PSW	HIGH_LOAD	0010100000010010	1000100000100001	0	1	3	3
23	5	3	pels	opbacht	NONWORD	1515	LOW_SOA	TARGET_PRIME_RELATED	PSW	HIGH_LOAD	0010100000010010	1000100000100001	0	1	3	3
24	5	4	gevaarlijk	riskant	NONWORD	1437	LOW_SOA	TARGET_PRIME_RELATED	BA	HIGH_LOAD	0010100000010010	1000100000100001	0	1	3	3
25	5	5	koprol	wit	NONWORD	1172	LOW_SOA	TARGET_PRIME_UNRELATED	FA	HIGH_LOAD	0010100000010010	1000100000100001	0	1	3	3
26	6	1	koraal	rif	WORD	1641	LOW_SOA	TARGET_PRIME_UNRELATED	Filler_SYM	LOW_LOAD	0100010001000100	1000101000100001	0	0	4	5
27	6	2	toveren	magie	WORD	969	LOW_SOA	TARGET_PRIME_RELATED	SYM	LOW_LOAD	0100010001000100	1000101000100001	0	0	4	5
28	6	3	toxisch	steen	WORD	1125	LOW_SOA	TARGET_PRIME_UNRELATED	FA	LOW_LOAD	0100010001000100	1000101000100001	0	0	4	5
29	6	4	klemtoon	nadruk	WORD	843	LOW_SOA	TARGET_PRIME_RELATED	Filler_SYM	LOW_LOAD	0100010001000100	1000101000100001	0	0	4	5
30	6	5	splinter	woestijn	WORD	828	LOW_SOA	TARGET_PRIME_UNRELATED	FA	LOW_LOAD	0100010001000100	1000101000100001	0	0	4	5
31	7	1	peper	twaald	NO_RESPONSE	3000	LOW_SOA	TARGET_PRIME_RELATED	PSW	HIGH_LOAD	0101000000101000	0011000001001000	0	2	2	2
32	7	2	egel	stekels	NONWORD	984	LOW_SOA	TARGET_PRIME_RELATED	Filler_SYM	HIGH_LOAD	0101000000101000	0011000001001000	0	2	2	2
33	7	3	tamelijk	nogal	WORD	1454	LOW_SOA	TARGET_PRIME_UNRELATED	Filler_SYM	HIGH_LOAD	0101000000101000	0011000001001000	0	2	2	2
34	7	4	goor	turnen	WORD	687	LOW_SOA	TARGET_PRIME_UNRELATED	FA	HIGH_LOAD	0101000000101000	0011000001001000	0	2	2	2
35	7	5	grap	ves	NONWORD	1140	LOW_SOA	TARGET_PRIME_UNRELATED	PSW	HIGH_LOAD	0101000000101000	0011000001001000	0	2	2	2
36	8	1	trottoir	stoep	NO_RESPONSE	3000	LOW_SOA	TARGET_PRIME_RELATED	Filler_SYM	HIGH_LOAD	0010000110000001	0001000110000100	0	2	2	2
37	8	2	goed	best	NO_RESPONSE	3000	LOW_SOA	TARGET_PRIME_RELATED	BA	HIGH_LOAD	0010000110000001	0001000110000100	0	2	2	2
38	8	3	order	bestelling	WORD	1922	LOW_SOA	TARGET_PRIME_UNRELATED	Filler_SYM	HIGH_LOAD	0010000110000001	0001000110000100	0	2	2	2
39	8	4	nul	ekel	NONWORD	1797	LOW_SOA	TARGET_PRIME_RELATED	PSW	HIGH_LOAD	0010000110000001	0001000110000100	0	2	2	2
40	8	5	religie	geuk	WORD	2547	LOW_SOA	TARGET_PRIME_RELATED	PSW	HIGH_LOAD	0010000110000001	0001000110000100	0	2	2	2
41	9	1	heel	fortuin	NO_RESPONSE	3000	LOW_SOA	TARGET_PRIME_UNRELATED	BA	HIGH_LOAD	0001010010000100	0001000010000100	0	3	1	0
42	9	2	lanceren	raket	WORD	1610	LOW_SOA	TARGET_PRIME_RELATED	FA	HIGH_LOAD	0001010010000100	0001000010000100	0	3	1	0
